Year,Winner,Jockey,Trainer,Owner,Time,Track,miles
2016,Creator,"Irad Ortiz, Jr",Steve Asmussen,WinStar Farm LLC,02:28.5,Belmont,1.5
2015,American Pharoah,Victor Espinoza,Bob Baffert,"Zayat Stables, LLC",02:26.7,Belmont,1.5
2014,Tonalist,Joel Rosario,Christophe Clement,Robert S. Evans,02:28.5,Belmont,1.5
2013,Palace Malice,Mike Smith,Todd Pletcher,Dogwood Stable,02:30.7,Belmont,1.5
2012,Union Rags,John Velazquez,Michael Matz,Phyllis M. Wyeth,02:30.4,Belmont,1.5
2011,Ruler on Ice,"Jose Valdivia, Jr.",Kelly Breen,George and Lori Hall,02:30.9,Belmont,1.5
2010,Drosselmeyer,Mike Smith,William Mott,WinStar Farm LLC,02:31.6,Belmont,1.5
2009,Summer Bird,Kent Desormeaux,Tim Ice,Kalarikkal & Vilasini Jayaraman,02:27.5,Belmont,1.5
2008,Da'Tara,Alan Garcia,Nick Zito,Robert V. LaPenta,02:29.7,Belmont,1.5
2007,Rags to Riches Ã¢â‚¬Â¡,John Velazquez,Todd Pletcher,M. Tabor & D. Smith,02:28.7,Belmont,1.5
2006,Jazil,Fernando Jara,Kiaran McLaughlin,Shadwell Farm,02:27.9,Belmont,1.5
2005,Afleet Alex,Jeremy Rose,Timothy Ritchey,Cash is King LLC,02:28.7,Belmont,1.5
2004,Birdstone,Edgar Prado,Nick Zito,Marylou Whitney Stables,02:27.5,Belmont,1.5
2003,Empire Maker,Jerry Bailey,Robert Frankel,Juddmonte Farms,02:28.3,Belmont,1.5
2002,Sarava,Edgar Prado,Kenneth McPeek,New Phoenix Stable,02:29.7,Belmont,1.5
2001,Point Given,Gary Stevens,Bob Baffert,The Thoroughbred Corp.,02:26.6,Belmont,1.5
2000,Commendable,Pat Day,D. Wayne Lukas,Bob & Beverly Lewis,02:31.2,Belmont,1.5
1999,Lemon Drop Kid,Jose Santos,Scotty Schulhofer,Jeanne G. Vance,02:27.9,Belmont,1.5
1998,Victory Gallop,Gary Stevens,W. Elliott Walden,Prestonwood Farm,02:29.2,Belmont,1.5
1997,Touch Gold,Chris McCarron,David Hofmans,Frank Stronach,02:28.8,Belmont,1.5
1996,Editor's Note,Rene R. Douglas,D. Wayne Lukas,Overbrook Farm,02:29.0,Belmont,1.5
1995,Thunder Gulch,Gary Stevens,D. Wayne Lukas,Michael Tabor,02:32.0,Belmont,1.5
1994,Tabasco Cat,Pat Day,D. Wayne Lukas,Reynolds/Overbrook,02:26.8,Belmont,1.5
1993,Colonial Affair,Julie Krone,Scotty Schulhofer,Centennial Farms,02:30.0,Belmont,1.5
1992,A.P. Indy,Ed Delahoussaye,Neil Drysdale,Tomonori Tsurumaki,02:26.1,Belmont,1.5
1991,Hansel,Jerry Bailey,Frank L. Brothers,Lazy Lane Farm,02:28.1,Belmont,1.5
1990,Go And Go,Michael Kinane,Dermot K. Weld,Moyglare Stud Farm,02:27.2,Belmont,1.5
1989,Easy Goer,Pat Day,C. R. McGaughey III,Ogden Phipps,02:26.0,Belmont,1.5
1988,Risen Star,Ed Delahoussaye,Louie J. Roussel III,Louie J. Roussel III,02:26.4,Belmont,1.5
1987,Bet Twice,Craig Perret,Jimmy Croll,Blanche P. Levy,02:28.2,Belmont,1.5
1986,Danzig Connection,Chris McCarron,Woody Stephens,Henryk de Kwiatkowski,02:29.8,Belmont,1.5
1985,Creme Fraiche,Eddie Maple,Woody Stephens,Brushwood Stables,02:27.0,Belmont,1.5
1984,Swale,"Laffit Pincay, Jr.",Woody Stephens,Claiborne Farm,02:27.2,Belmont,1.5
1983,Caveat,"Laffit Pincay, Jr.",Woody Stephens,August Belmont IV,02:27.8,Belmont,1.5
1982,Conquistador Cielo,"Laffit Pincay, Jr.",Woody Stephens,Henryk de Kwiatkowski,02:28.2,Belmont,1.5
1981,Summing,George Martens,Luis Barrera,"Charles T. Wilson, Jr.",02:29.0,Belmont,1.5
1980,Temperence Hill,Eddie Maple,Joseph B. Cantey,Loblolly Stable,02:29.8,Belmont,1.5
1979,Coastal,Ruben Hernandez,David A. Whiteley,William Haggin Perry,02:28.6,Belmont,1.5
1978,Affirmed,Steve Cauthen,Laz Barrera,Harbor View Farm,02:26.8,Belmont,1.5
1977,Seattle Slew,Jean Cruguet,"William H. Turner, Jr.",Karen L. Taylor,02:29.6,Belmont,1.5
1976,Bold Forbes,"Angel Cordero, Jr.",Laz Barrera,E. Rodriguez Tizol,02:29.0,Belmont,1.5
1975,Avatar,Bill Shoemaker,Tommy Doyle,"Arthur A. Seeligson, Jr.",02:28.2,Belmont,1.5
1974,Little Current,Miguel A. Rivera,Lou Rondinello,Darby Dan Farm,02:29.2,Belmont,1.5
1973,Secretariat,Ron Turcotte,Lucien Laurin,Meadow Stable,02:24.0,Belmont,1.5
1972,Riva Ridge,Ron Turcotte,Lucien Laurin,Meadow Stud,02:28.0,Belmont,1.5
1971,Pass Catcher,Walter Blum,Eddie Yowell,October House Farm,02:30.4,Belmont,1.5
1970,High Echelon,John L. Rotz,John W. Jacobs,Ethel D. Jacobs,02:34.0,Belmont,1.5
1969,Arts and Letters,Braulio Baeza,J. Elliott Burch,Rokeby Stables,02:28.8,Belmont,1.5
1968,Stage Door Johnny,Heliodoro Gustines,"John M. Gaver, Sr.",Greentree Stable,02:27.2,Belmont,1.5
1967,Damascus,Bill Shoemaker,"Frank Y. Whiteley, Jr.",Edith W. Bancroft,02:28.8,Aqueduct,1.5
1966,Amberoid,William Boland,Lucien Laurin,Reginald N. Webster,02:29.6,Aqueduct,1.5
1965,Hail To All,Johnny Sellers,Eddie Yowell,Zelda Cohen,02:28.4,Aqueduct,1.5
1964,Quadrangle,Manuel Ycaza,J. Elliott Burch,Rokeby Stables,02:28.4,Aqueduct,1.5
1963,Chateaugay,Braulio Baeza,James P. Conway,Darby Dan Farm,02:30.2,Aqueduct,1.5
1962,Jaipur,Bill Shoemaker,Bert Mulholland,"George D. Widener, Jr.",02:28.8,Belmont,1.5
1961,Sherluck,Braulio Baeza,Harold Young,Jacob Sher,02:29.2,Belmont,1.5
1960,Celtic Ash,Bill Hartack,Thomas J. Barry,Joseph E. O'Connell,02:29.2,Belmont,1.5
1959,Sword Dancer,Bill Shoemaker,J. Elliott Burch,Brookmeade Stable,02:28.4,Belmont,1.5
1958,Cavan,Pete Anderson,Thomas J. Barry,Joseph E. O'Connell,02:30.2,Belmont,1.5
1957,Gallant Man,Bill Shoemaker,John A. Nerud,Ralph Lowe,02:26.6,Belmont,1.5
1956,Needles,David Erb,Hugh L. Fontaine,D & H Stable,02:29.8,Belmont,1.5
1955,Nashua,Eddie Arcaro,Jim Fitzsimmons,Belair Stud,02:29.0,Belmont,1.5
1954,High Gun,Eric Guerin,Max Hirsch,King Ranch,02:30.8,Belmont,1.5
1953,Native Dancer,Eric Guerin,Bill Winfrey,Alfred G. Vanderbilt II,02:28.6,Belmont,1.5
1952,One Count,Eddie Arcaro,Oscar White,Sarah F. Jeffords,02:30.2,Belmont,1.5
1951,Counterpoint,David Gorman,Sylvester Veitch,C. V. Whitney,02:29.0,Belmont,1.5
1950,Middleground,William Boland,Max Hirsch,King Ranch,02:28.6,Belmont,1.5
1949,Capot,Ted Atkinson,"John M. Gaver, Sr.",Greentree Stable,02:30.2,Belmont,1.5
1948,Citation,Eddie Arcaro,Horace A. Jones,Calumet Farm,02:28.2,Belmont,1.5
1947,Phalanx,Ruperto Donoso,Sylvester Veitch,C. V. Whitney,02:29.4,Belmont,1.5
1946,Assault,Warren Mehrtens,Max Hirsch,King Ranch,02:30.8,Belmont,1.5
1945,Pavot,Eddie Arcaro,Oscar White,"Walter M. Jeffords, Sr.",02:30.2,Belmont,1.5
1944,Bounding Home,Gayle Smith,Matt Brady,"William Ziegler, Jr.",02:32.2,Belmont,1.5
1943,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,02:28.2,Belmont,1.5
1942,Shut Out,Eddie Arcaro,"John M. Gaver, Sr.",Greentree Stable,02:29.2,Belmont,1.5
1941,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,02:31.0,Belmont,1.5
1940,Bimelech,Fred A. Smith,William A. Hurley,Edward R. Bradley,02:29.6,Belmont,1.5
1939,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,02:29.6,Belmont,1.5
1938,Pasteurized,James Stout,George M. Odom,Carol Harriman Plunkett,02:29.4,Belmont,1.5
1937,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,02:28.6,Belmont,1.5
1936,Granville,James Stout,Jim Fitzsimmons,Belair Stud,02:30.0,Belmont,1.5
1935,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,02:30.6,Belmont,1.5
1934,Peace Chance,Wayne D. Wright,Pete Coyne,Joseph E. Widener,02:29.2,Belmont,1.5
1933,Hurryoff,Mack Garner,Henry McDaniel,Joseph E. Widener,02:32.6,Belmont,1.5
1932,Faireno,Tommy Malley,Jim Fitzsimmons,Belair Stud,02:32.8,Belmont,1.5
1931,Twenty Grand,Charley Kurtsinger,"James G. Rowe, Jr.",Greentree Stable,02:29.6,Belmont,1.5
1930,Gallant Fox,Earl Sande,Jim Fitzsimmons,Belair Stud,02:31.6,Belmont,1.5
1929,Blue Larkspur,Mack Garner,Herbert J. Thompson,Edward R. Bradley,02:32.8,Belmont,1.5
1928,Vito,Clarence Kummer,Max Hirsch,Alfred H. Cosden,02:33.2,Belmont,1.5
1927,Chance Shot,Earl Sande,Pete Coyne,Joseph E. Widener,02:32.4,Belmont,1.5
1926,Crusader,Albert Johnson,George Conway,Glen Riddle Farm,02:32.2,Belmont,1.5
